,authors,age
2468,3300,6
175,209,21
820,1297,12
3975,4160,16
4351,2254,20
6035,1905,6
6625,2051,9
5973,837,25
7161,2952,7
6840,3972,4
3976,3959,13
5666,2471,10
7370,3860,16
3861,2465,8
6230,3320,10
3671,2614,9
7810,1652,6
354,1511,9
5070,3005,44
5633,3678,5
1302,3855,64
539,1238,11
4159,2967,16
5604,4228,22
2647,1952,5
7754,2364,3
3676,1612,5
5468,4019,10
3972,2374,7
1928,1906,17
5489,4104,6
7780,789,3
7587,3127,6
1323,4060,5
7334,3883,11
6525,752,7
2883,1213,14
812,1307,4
230,3741,15
7820,519,10
4815,1056,10
5709,2802,8
1502,3364,22
123,119,8
5659,1300,5
7982,2044,7
2931,1235,8
13,1345,6
685,836,17
5146,1085,26
5974,693,4
3746,3116,11
3430,2123,14
2977,1487,14
1699,147,6
970,1449,22
2367,3044,5
7600,1894,11
7645,2827,9
3455,2051,9
5660,3944,14
1371,982,24
7261,4183,14
5918,1195,9
4622,1991,7
258,976,14
3854,1189,9
2702,3113,4
146,1515,8
768,3032,19
5029,796,12
3421,2165,7
1920,2362,16
1328,1926,16
6099,1970,11
1810,4113,97
173,1641,21
7281,944,13
1100,1271,31
6524,4300,11
6245,2344,7
1210,3409,6
7304,1405,11
4959,2832,15
5813,1329,19
5433,2098,13
7683,613,3
7914,1530,10
7591,1175,11
4809,4215,55
2901,992,18
2335,387,4
5431,74,27
7506,3055,7
5490,393,11
3076,701,3
3983,2486,5
7089,4275,16
7760,461,23
2722,3802,4
3515,29,7
7602,2246,7
7475,2263,8
6209,601,3
7427,536,5
7102,111,9
5746,2917,9
3240,1822,5
2782,62,10
3138,3876,8
5293,3966,6
6657,582,5
7292,2459,5
2079,289,13
7138,814,4
6814,2599,8
2910,132,6
5687,2375,9
3700,236,11
5206,3458,16
3962,4288,10
6848,2855,12
6183,229,12
379,1838,11
1550,10,12
3929,1852,8
4527,1989,7
740,2175,4
2827,3078,29
4353,2038,6
5684,332,80
2122,3021,5
631,2739,7
525,2214,51
1465,3245,89
6001,285,13
4679,4351,7
1712,1006,9
3925,3609,6
1056,1393,16
7022,2724,7
4659,2422,9
2923,506,20
7341,3864,26
521,2719,3
1775,572,7
6639,3324,13
2433,19,13
4965,3599,17
5907,2784,13
6113,4344,5
7288,3173,16
1525,2198,8
6717,1,12
7766,689,3
7804,2508,6
7927,961,10
5533,978,16
3164,1797,8
2273,784,10
6885,2064,15
3789,1885,3
4391,2922,18
2871,1086,38
1848,1396,6
1130,4335,43
7879,3607,9
2746,3092,13
2518,1467,25
5612,3757,7
905,2886,17
1131,3246,4
2390,1384,9
1494,540,4
4514,1848,4
3655,2972,7
1571,188,9
851,1589,12
7844,828,6
1382,4127,3
5322,3514,38
2015,1695,8
2843,1722,14
7958,3288,8
4375,1458,19
1806,3225,25
7647,954,6
2587,293,8
287,2348,53
41,1199,14
4452,2100,10
2570,3650,7
1601,3258,19
234,3492,9
6564,2267,7
5236,196,14
4354,749,3
2629,2365,6
2732,2126,15
3604,1338,10
5077,635,52
5977,1529,7
7742,3825,18
1189,616,3
4336,3587,7
1951,3897,14
1936,3886,16
85,1121,20
6924,1637,6
6783,3344,10
4915,505,5
5761,3918,13
5036,1773,3
6036,1702,7
994,4184,8
2234,3215,17
7118,3879,6
1147,111,9
415,1336,25
2625,46,12
2527,4314,11
5280,2305,4
4939,2976,9
2033,471,16
4603,67,7
7671,221,7
4365,797,5
3966,1985,6
7924,4263,5
4538,3370,8
5500,1830,8
5304,73,19
7636,3676,3
3375,2887,51
3692,740,4
1748,309,8
3552,670,8
5837,3900,15
4337,1174,6
5112,598,8
2322,593,12
4889,2744,9
1931,394,12
800,2223,9
3318,547,5
2056,1677,14
2664,3661,6
6712,2764,8
7128,2076,7
7650,245,11
6674,3424,8
3315,2346,8
5939,4301,4
3233,1430,12
5278,626,18
2471,729,15
4516,2038,10
6769,3419,5
2294,733,12
2051,2930,7
4582,852,11
2055,3059,31
122,879,40
2780,4107,6
2514,1357,39
4785,384,14
3849,1898,27
4585,313,22
7526,2827,9
5965,822,3
5415,2803,19
3036,1152,21
1479,1495,12
1538,4219,54
898,1758,7
6236,1092,9
6852,2855,12
6966,107,23
5335,3525,11
595,2520,25
7269,1469,7
6452,1130,5
7552,1389,13
6977,3120,7
2997,4358,10
6835,3611,7
650,2800,25
5201,2408,14
2231,821,19
7534,2998,8
6141,3163,7
5455,176,10
1823,1144,12
4632,326,18
4084,2210,17
1350,855,29
3073,3452,7
3613,2163,9
2080,2725,7
2742,1913,7
3668,3173,14
7319,3174,7
6887,2273,9
3540,1639,5
6254,3783,6
6556,64,17
4184,3357,16
7724,1757,21
6319,1233,4
290,1202,18
4302,820,26
4071,3781,6
6608,1105,5
6436,195,8
6106,3066,10
100,3066,10
5202,2411,20
6638,3194,7
5853,3872,6
3685,2573,10
4343,2242,5
2713,3175,7
5190,769,51
518,2985,7
4271,2412,19
5923,4101,4
1992,1603,16
5912,966,28
3597,2662,8
6904,1232,18
358,3776,14
3847,98,24
4631,1373,6
645,3318,34
2384,4107,22
919,2361,33
1379,3391,28
3788,3034,8
754,667,18
661,3126,12
5476,1890,5
709,1434,13
4812,274,8
5009,627,5
2930,3828,14
4344,3372,7
7769,2558,8
3245,3408,8
6204,3459,4
2750,2674,12
696,1423,29
5192,3070,12
6703,1558,5
847,3233,16
2432,1741,9
1001,1788,14
814,4330,5
4287,957,9
5713,1107,14
6971,2641,9
2699,3064,10
6028,375,26
1017,924,14
959,4378,12
6394,431,5
5629,3582,8
1229,4244,29
7736,1458,6
5824,2341,9
7877,2998,9
1355,514,17
2771,286,12
2014,1695,8
846,65,7
7279,3445,5
218,4081,21
2638,564,4
2698,1044,15
7521,1480,14
316,1561,3
5085,1286,11
2840,1043,17
399,56,32
7992,1324,5
1061,1607,9
6131,927,14
1879,2212,6
5320,2870,38
541,1507,11
1619,3134,6
7797,3628,3
673,3253,13
1734,3053,11
5494,3400,8
5992,1563,25
489,989,13
3122,185,8
4906,3775,5
2316,2353,8
3622,890,28
1175,2078,18
23,2451,8
7800,2414,9
4700,399,11
2476,3211,7
6549,824,4
6302,3105,12
4627,699,15
6053,2287,5
5008,1024,56
765,3032,20
3762,929,8
6066,1255,10
5571,3752,7
7577,1687,39
3665,2283,12
1586,1262,14
2038,3472,3
7157,1442,16
4067,2488,15
7678,3862,4
7362,2807,7
7811,1625,6
7390,2827,10
2020,1378,14
5536,1600,16
2063,380,24
2095,1601,9
419,2538,9
1719,3838,40
1339,873,27
5250,3887,16
285,2775,31
441,2113,9
5781,3404,87
6004,121,18
4075,2328,6
1679,4332,11
7027,554,9
6663,3573,15
1190,4042,5
7670,868,4
6086,1676,10
3836,2345,9
2409,4222,9
2164,1093,4
2186,2738,8
6516,3446,5
2593,2498,8
6603,2862,5
2792,587,5
5860,3143,8
1915,383,12
6213,963,31
1798,1995,9
3517,1268,12
6460,2299,7
1593,566,26
4056,2655,7
5038,1185,23
1049,24,33
4680,1991,13
1206,3953,4
1831,3342,9
5397,1812,4
5593,4062,20
6831,3032,20
4600,275,39
5547,1024,6
3729,3873,6
699,2903,8
429,1892,11
439,531,12
802,3929,13
1097,358,20
7909,1568,15
2192,1948,7
6308,3284,7
466,2811,40
6248,3682,7
3111,927,14
7192,1621,11
5065,3201,20
2574,16,12
693,695,3
6678,59,10
3196,3478,30
1151,1020,4
4584,4084,12
2905,3552,4
6033,3662,4
6634,732,10
6669,394,14
4847,1813,9
2373,3761,3
805,1760,22
487,2059,4
7492,2857,9
5990,1135,11
3094,3177,7
5752,2600,27
975,1964,9
4294,3699,16
3947,3592,7
4334,3718,6
7227,1684,8
5702,870,11
1758,3303,37
7608,397,10
4563,2568,11
4981,3361,7
1985,980,25
2320,3078,15
6234,929,10
2688,1931,7
1352,744,46
2528,1500,13
2612,3305,4
1172,3924,4
7024,2000,8
4270,2337,3
1788,8,15
5654,1524,6
736,1834,9
2946,2968,5
5484,436,5
4562,3555,8
1025,2431,8
1078,1241,8
524,1782,17
787,1261,11
2543,297,10
1612,1951,14
2423,4293,10
6724,2923,4
4996,998,9
304,4088,3
3838,2424,3
5424,3312,9
620,3989,5
1870,1907,13
7013,1541,44
5758,2015,10
3513,3614,7
1558,202,10
1531,640,18
284,2073,9
7748,3692,4
7727,3574,3
6988,3487,4
6297,25,7
5759,2863,8
267,105,6
5152,2180,47
532,1078,58
5130,1451,12
2107,1822,5
5620,886,20
1037,1154,31
7312,3879,10
2436,683,8
3694,891,146
4961,4219,54
1755,3791,9
4502,906,25
7274,1540,5
2029,2541,11
2658,1471,13
2791,4123,13
5729,633,10
5902,3195,10
4117,4367,19
5994,1917,11
7625,650,3
845,3334,26
7863,351,12
5090,2381,10
4885,2650,11
5151,4062,12
1293,3586,34
1919,1252,19
5128,3265,7
2875,1544,8
292,1614,6
4520,331,23
1164,4364,27
4911,1864,9
4875,1356,15
4295,104,13
5515,3095,7
6510,3486,8
680,2152,5
124,471,16
6776,1922,13
5022,553,20
1453,2763,6
3063,1519,10
3409,2,5
7009,3788,6
7954,1735,11
1614,4239,8
2455,255,4
7713,3085,5
5277,187,16
5835,3263,35
6505,4056,5
7,3978,8
4980,4035,4
256,3226,6
967,3142,34
1982,3003,27
1635,263,23
4321,2076,7
4429,2312,27
1785,1484,8
7838,829,10
1030,2070,22
2936,3669,18
7976,1413,8
871,4072,6
7371,4023,5
2562,1404,2
3586,2369,5
1680,2792,47
57,1582,4
7641,3934,5
1599,994,15
3782,2463,20
4748,885,11
7513,1793,4
4696,3838,49
133,1578,14
833,2132,8
1950,940,25
6437,745,8
5074,207,15
6049,2980,3
4843,2376,10
5462,1034,7
2728,2931,9
980,1473,21
7005,1672,11
7669,172,33
7817,2591,10
6932,1242,7
7414,2843,4
3465,2035,6
1215,3382,5
501,2999,7
7216,2597,7
1872,2717,9
4899,4193,14
6771,2611,9
3077,753,4
6329,4256,4
1383,3619,3
7738,3386,4
3508,1062,13
7401,618,4
3262,2288,7
161,1057,30
5539,1915,15
2749,3310,8
1953,3964,18
6179,1305,15
5041,2095,9
4674,893,10
5410,3144,5
7487,1118,8
5060,4101,5
2738,1955,7
7790,949,7
932,3621,25
1973,2206,62
1411,492,3
5088,391,17
1726,962,10
227,2406,17
838,79,32
2493,1480,15
6626,2738,8
1528,1348,22
7512,3464,3
7978,1104,5
5737,3598,12
717,1497,7
5051,542,5
4926,1930,9
3317,2006,7
3015,2298,13
3473,2661,13
5834,3263,39
4008,1971,14
6003,763,31
506,3015,33
5164,2050,13
7951,1720,7
7962,4204,8
3459,34,6
5821,122,22
342,2288,7
6533,2308,13
1497,4120,5
3343,106,5
931,3890,20
5838,1027,13
5521,3865,34
4805,3356,10
5652,2909,20
2837,256,11
5271,3110,13
1092,642,4
6135,4064,7
303,780,4
5114,2793,21
2992,3169,6
7870,389,8
1495,3199,10
1661,284,23
887,1840,18
51,1037,7
4030,144,66
1633,2637,11
2428,170,4
6969,281,21
6409,3624,5
7101,1074,16
203,37,85
3710,2404,9
3302,2500,8
1373,3510,17
2966,380,9
1248,942,4
3844,3482,8
3980,741,4
3702,2432,10
7618,2816,31
6984,2372,7
7142,3473,4
3837,3480,9
2474,4102,24
2600,534,5
1443,183,13
2968,3093,35
3817,2691,15
31,3106,19
4042,1426,12
7765,2021,5
6389,2664,9
4907,4143,17
4669,4277,9
1869,3915,31
423,990,11
1705,1901,8
2004,2159,8
774,3539,12
151,1611,5
3953,470,4
7468,1721,7
5804,1196,14
5855,1183,8
6996,1698,8
4874,3345,16
6309,3060,8
263,392,17
3476,2453,6
534,2134,10
1459,4258,7
4347,2492,8
5762,553,8
3431,4132,13
1968,2131,39
590,4131,11
4897,3345,41
6091,1767,7
6934,1296,9
5150,2697,10
3882,2420,8
1592,3868,6
580,1576,14
6250,3967,3
5072,1362,7
2339,159,7
3145,911,10
44,1340,6
3942,2843,9
7531,82,25
5312,1750,20
3050,2642,9
2267,1845,14
5663,3710,4
5953,240,15
6945,2806,5
2145,570,5
4376,1825,24
7989,4373,28
660,1452,23
1864,4055,5
388,839,36
1643,4117,22
4933,4077,38
4083,2210,13
3731,1958,5
268,2649,26
2988,3564,7
2796,4047,6
865,3380,7
877,2017,66
5643,4366,5
5451,3130,5
6123,3608,7
3793,2304,5
1639,3402,7
212,2810,9
5351,2692,29
1451,1871,10
4949,4087,4
3414,348,18
4366,3029,8
7169,461,10
2203,68,13
4195,1562,7
4033,2287,5
7045,249,4
7878,367,7
7568,4071,5
6487,4264,8
3212,1206,6
4479,2173,4
6128,410,9
5609,1237,5
1388,91,10
550,2986,9
1997,4012,20
2336,2203,11
1312,1212,31
7196,3173,12
5700,2018,7
5731,4080,4
4676,2786,7
3598,2740,42
1709,2055,9
1918,2906,17
1357,318,6
825,1642,26
7638,3087,3
3079,2197,3
2133,1949,9
7675,2484,8
3509,4162,7
7950,4290,11
6952,337,24
1032,2623,9
7902,4236,5
1594,3050,17
6379,3819,30
7415,442,19
1733,89,34
7398,3013,5
3697,455,9
5438,1594,20
925,1397,42
3137,756,42
6177,3365,8
5787,844,11
7278,2771,5
5810,2760,7
7083,981,10
1786,2137,11
5692,3049,11
3771,2642,5
2315,2189,11
5116,1276,15
4432,2317,25
4732,1013,7
5492,604,4
6970,281,32
7421,4248,49
4521,517,27
2677,4266,6
3217,762,9
6818,2469,9
1991,1098,25
6985,51,15
5313,1163,12
1520,984,6
2434,1446,4
7441,188,9
1665,3290,45
3672,2742,6
1900,2084,9
4152,960,23
678,2680,22
1391,3259,7
5370,1023,4
684,4168,5
6175,3856,6
3601,3805,6
50,3767,6
3638,3936,6
7764,1412,8
5972,404,13
1557,1704,13
189,3496,4
5592,9,10
2256,878,16
4136,93,12
5215,1770,62
3205,3069,5
7250,2490,9
5276,1321,6
4447,512,13
4948,1108,15
1965,2199,47
4925,1371,7
2642,15,27
4619,2735,12
3102,723,3
5401,2666,8
7880,319,14
6435,1366,8
5047,3960,22
2689,1693,15
4359,3343,10
6544,0,18
5406,1084,12
1091,2885,6
6080,3643,6
6413,4145,8
1160,3991,6
348,1847,43
1561,1372,8
5743,2251,38
5333,178,3
701,1941,19
1090,4304,8
2242,1460,8
4296,3037,5
5018,3220,9
2865,713,8
6453,1176,28
7938,2536,7
6960,1436,12
3085,31,14
1911,3841,7
2920,35,7
4586,2009,9
2583,3723,7
2325,1934,8
6892,1106,19
6998,1222,9
5499,3744,15
7199,3381,8
7453,2575,6
282,1431,8
5332,4069,5
4886,3600,18
6903,1232,15
2464,2371,3
2919,1865,15
5075,1184,15
3910,4107,22
4423,2990,7
601,2100,10
7109,220,6
2864,1716,8
1615,2249,47
7528,1470,4
3026,2200,6
317,2073,10
1620,97,20
6891,541,11
7178,4382,8
5043,636,35
6398,3589,5
7858,3379,6
7485,221,7
4941,1710,8
1682,1145,24
5003,3052,14
265,3264,4
4419,4094,10
207,443,5
7674,4340,6
677,1939,17
4312,3924,4
6271,3520,6
4332,594,6
3383,2308,13
6813,512,4
2679,3572,17
1836,2089,13
5446,1028,14
2715,157,12
5760,591,5
1325,4060,5
3816,3417,7
7343,3863,20
7537,3165,4
4772,2427,5
5347,2332,5
4254,1938,23
4945,2686,625
2205,1609,9
3505,2238,11
2872,2853,9
7771,3580,7
5596,4189,12
5306,2961,6
6543,1147,23
1782,1169,14
1186,3648,16
5556,3581,6
5225,553,30
1718,1270,10
2017,3948,7
4201,3706,6
7440,2775,37
76,3452,7
6100,2962,9
4863,4171,34
6911,65,7
387,1094,9
2189,234,6
153,1877,11
4731,310,6
5028,2802,5
1069,3558,20
1158,2351,6
2859,2778,4
3632,937,6
7310,2184,9
7698,1841,8
6142,2508,6
4237,4005,69
6579,3534,6
4204,1073,18
4461,1798,12
7445,1678,6
6458,3056,4
5707,3935,28
3256,4299,8
7379,3609,6
7919,774,7
623,2871,16
563,1897,10
3163,3561,7
531,2277,11
1861,307,18
5251,951,13
320,1334,46
6531,1979,8
5109,3815,7
1647,1226,8
6027,2860,5
1771,4194,21
3797,1408,7
1139,1347,25
1976,382,12
688,3499,37
4384,2102,5
5204,2409,19
2669,726,12
4570,859,3
5638,227,10
3555,440,2
962,4046,4
4569,324,33
297,328,3
748,3644,17
7640,917,11
1791,3884,3
4754,3286,4
5309,1155,24
7082,2550,12
1244,3675,17
7085,3168,8
7652,3099,8
5187,2583,7
14,1136,8
1515,198,4
1103,1125,18
448,2820,19
7716,1254,17
2167,1572,30
66,451,24
1338,4268,26
2523,1234,8
5927,124,11
1344,2056,10
3911,1900,11
5786,1690,15
4637,1180,9
4499,4274,18
3067,3802,3
5802,1533,23
852,315,15
3954,2001,8
2065,380,17
7893,705,3
1694,1909,19
4382,1630,28
1990,1889,27
101,342,17
5602,4255,21
5295,702,25
2509,2646,13
2070,1151,5
2064,380,22
25,2124,6
4852,3245,13
2975,2074,5
6577,2837,8
1405,4015,20
5305,72,19
3545,2895,6
4364,275,28
5274,1744,37
2113,2576,8
6982,3439,7
2631,2929,6
761,4331,11
1910,1251,24
7124,3456,7
4156,2779,5
3496,2108,8
6260,3931,7
5924,2767,17
37,1331,28
1372,1768,10
120,3542,6
5408,77,15
4606,3908,11
4024,3946,4
3737,4149,3
3295,896,9
6491,4116,6
2280,4108,14
1195,4151,19
3893,1310,10
1286,4061,11
2282,4109,15
5705,898,23
2054,291,7
2161,413,12
7846,908,10
2866,543,7
7221,3864,25
3766,2840,5
858,1682,15
4108,2743,4
2531,3954,18
3171,658,8
1698,458,11
137,417,5
7044,723,3
3553,352,8
3032,3271,3
570,1696,14
2613,3046,9
1031,2186,11
7895,1317,6
6541,3454,7
3223,1601,9
2598,78,5
584,2653,25
3639,2208,4
2115,222,8
6055,3789,7
5230,843,14
2895,866,13
4011,768,19
7629,1912,5
21,3762,6
5376,2979,7
523,374,8
5782,3984,27
6029,3460,8
2351,1460,11
324,712,21
1218,348,18
1741,2335,10
6076,1075,8
6750,622,11
7429,2631,9
6967,107,16
3809,3376,6
1346,539,5
6477,3623,5
2477,3575,4
2314,804,3
7609,2386,6
2197,179,8
2104,651,11
398,3204,19
3379,2681,7
3437,4020,3
6688,622,14
3113,1647,8
3959,3239,4
2513,3466,7
2651,1365,6
3336,912,35
1435,538,7
2013,3272,9
1817,856,3
2721,4197,15
2500,643,30
591,23,8
5580,1593,16
3494,454,14
517,3094,4
3480,254,17
5529,4295,32
6387,3515,7
944,1188,20
1087,2211,24
5353,3051,17
409,2910,8
2626,987,12
1142,1424,14
1101,235,50
7136,4155,32
3487,4059,10
5742,1215,8
1523,3145,7
6957,3994,7
3156,1639,5
3640,276,10
4125,3670,5
4776,1789,6
7339,2827,10
1474,2554,27
5403,639,29
7576,4083,4
5614,3777,21
2733,347,7
5374,634,58
7907,1625,7
1527,3157,9
1688,1566,6
2990,4325,6
4357,379,21
1829,1053,19
3818,4052,38
7851,4031,4
1711,2400,9
5480,429,5
6450,3885,11
947,2788,18
5611,4230,10
7616,2477,10
3105,3385,2
1247,1407,4
5563,1762,56
5169,669,12
4991,1216,22
4532,4024,6
6349,3818,4
1704,3506,26
2986,803,10
3271,3505,6
1546,2355,45
5132,76,8
5829,427,74
7686,1730,8
339,4270,16
4670,1551,11
2441,803,10
333,4030,13
5911,2638,4
3040,2724,7
3452,829,6
5749,1739,5
2520,45,5
4848,1014,13
5453,783,4
4050,1962,8
7562,193,4
3963,3022,7
958,3585,7
5910,2561,49
1551,4213,4
1341,2045,9
143,2433,7
4308,265,20
5384,4036,8
4214,4021,21
7145,3133,7
5013,3311,15
2011,710,4
7861,467,5
4153,4040,35
5081,2226,8
7478,1244,9
7792,3314,21
4871,698,5
5685,2499,10
5205,2407,28
3404,3607,8
1667,3245,26
4720,1799,5
1689,2882,6
4417,2401,20
4453,125,12
5429,3877,13
295,343,20
1307,494,11
1966,3606,12
6374,2020,5
1099,1253,15
1380,1867,8
378,3124,14
1329,4178,19
5079,4343,6
4715,275,35
6711,1820,19
3363,2895,6
5237,2470,39
6002,4278,25
6886,4330,5
916,2092,20
2271,158,9
5980,1011,12
5851,4362,19
3948,918,6
364,1984,8
3004,1064,11
5570,365,6
5291,1298,16
7018,2770,7
4596,2922,29
2419,204,8
5588,1353,17
2377,4006,6
2974,2497,7
5947,4217,18
4090,4027,4
1425,1102,10
3444,3686,7
2993,3398,15
5775,623,5
5606,4312,12
444,3057,9
3477,4180,15
703,136,9
7198,562,3
3346,1738,10
6550,1442,16
5845,1866,6
126,3469,29
6496,3626,6
2555,1439,24
7653,2753,9
5576,4369,6
6749,2087,5
4898,4193,14
2000,4163,21
7300,2016,6
376,151,10
2541,1816,10
6410,2494,5
3486,3665,7
1015,2014,79
2989,3292,6
4470,938,10
4129,370,3
5871,99,94
6551,2852,5
7299,3912,4
826,3154,17
2083,19,10
7028,1916,5
3386,1030,5
4392,489,4
1470,6,16
1271,226,9
2279,20,15
6742,2679,6
3946,22,8
3169,645,127
3311,4145,8
2465,2303,6
307,1874,11
797,2932,22
4706,2438,16
3537,4061,11
927,3166,51
2395,2613,8
3619,853,11
247,3992,25
1354,3423,17
1053,2096,22
2705,2012,4
5212,3463,7
2178,341,16
1028,3313,6
2821,3509,27
7825,2665,9
7349,3549,8
5553,812,8
4467,4323,6
1340,140,9
3551,409,7
3470,520,4
5020,3558,20
960,3551,7
892,420,72
2863,160,8
1710,3905,35
1849,1217,41
2222,2913,6
7595,3684,8
5578,4285,12
5338,2448,21
4579,2608,7
1761,1367,4
2418,3176,4
7338,1651,9
1505,950,8
1995,163,20
2278,3045,4
7886,2684,8
